Date Submitted,Date of Sighting,City,ST,Short Description
3/7/2018,3/6/2018,Willits, CA,"{jpg}I took several photos of the cloud formations. When I looked at the photos on the computer monitor, there was a bright white spot on the photo. I enlarged it to find that it was a glowing oval shaped object at a great distance. Only one photo showed"
3/4/2018,3/4/2018,Tracy, CA,{jpg} Saw a bright white reflective object at very high altitude moving across the sky
3/1/2018,3/1/2018,Agoura Hills, CA,{td}Watching a rabbit shaped rain cloud facing south w/ a white cloud next to it.All of the sudden in the eye of the rabbit was a Sauser shape & it looked like it was trying to move.Then it took off very fast past the white cloud & vanished
11/21/2018,4/21/2018,CA, US,{rjl} This is a raw image from the curiosity camera that catches the horizon line.
10/20/2018,4/10/2018,Santa Clarita, CA,{rjl} White object moving in the sky
8/30/2018,4/28/2018,escondido, CA,"{td} was red.had a beak.non normal hands,fleshy looking, black eyes. came in the night to my bedroom"
8/12/2018,4/8/2018,Costa mesa, CA,"{cak} I'm a patrol corporal for private security company, while on payroll at Costa Mesa account around 0330 am I noticed and oblect right in front of me that looked like a triangle with three lights under it and was not making any sound but was up and a"
8/11/2018,4/28/2018,Joshua Tree, CA,{jpg} upon review days after that I have filmed some objects in slow motion flying through the frame at a very high rate of speed. The clip was recorded on an iPhone 7 at 240 FPS
5/11/2018,4/9/2018,twentynine palms, CA,{td} lights in the sky forming shapes
5/6/2018,4/28/2018,CA, US,{td} On a flight to Los Angeles I looked out of my window to the north and bright lights in the distance.
5/5/2018,4/22/2018,CA, US,{jpg} Green about three feet jumped over fence more than1
4/27/2018,4/22/2018,Los Angeles, CA,{rjl} UFO which didn’t like like either a plane or helicopter
4/26/2018,4/26/2018,Woodland, CA,{rjl} Foo fighters?
4/24/2018,4/23/2018,hercules, CA,{rjl} a ball of light that desent towards the ground at a rapid rate
4/22/2018,4/22/2018,Pacific Grove, CA,{rjl} Very high objects moved (floated?) across the sky.
4/21/2018,4/20/2018,Brooktrails/Willits, CA,{cak} A friend of mine was outside smoking a cigarette and they said hey come look at this and I went outside to look and it was something out in the sky with lights it was far up is a star maybe and it was moving
4/20/2018,4/19/2018,Los Angeles, CA,{cak} From area of Hollywood Hills saw 2 stationary lights that varied in brigjtness but did not move at all for about 10 min then faded out
4/17/2018,4/2/2018,Simi Valley , CA,{cak} Caught triangle craft on camera above freeway while driving home
4/16/2018,4/16/2018,corona del mar, CA,"{cak} 2 balls moving swiftly traveling north, one split accelerated and disappeared"
4/15/2018,4/14/2018,Hemet, CA,"{cak} About 22:00, 14APR18, Heading approx NE at a mild rate of speed over Hemet, CA approx Sanderson and menlo Black Triangle with 6 Dull Red under-Lights"
4/15/2018,4/12/2018,irvine, CA,{cak} sightings over fullerton california and costa mesa california and Irvine
4/15/2018,4/14/2018,Anza, CA,"{cak} Object moving quickly across Anza Burrgo. Object had a random pulse of light, come to a complete stop and quick flash of light. One of the flashes looked like forked lighting going upward. Quickly moved north and shot south and disappeared."
4/13/2018,4/11/2018,Stockton, CA,{td} Reptile flying in cloud
4/11/2018,4/10/2018,San diego, CA,{td} Looked to be over ocean. 2 lights appear last for awhile disappear come back again. Smaller dim flashing lights flying around it
4/8/2018,4/7/2018,Madera, CA,{jpg} Observed something that I am not familiar with.
4/4/2018,4/3/2018,Buena Park, CA,{jpg} Shinny silver disc shape moving NE over one mile up.
4/3/2018,4/3/2018,Fresno, CA,"{jpg} UFC not seen, only trail"
8/21/2018,5/26/2018,Irvine, CA,"{rjl} At 0:14 in video very fast moving white objects. Most prominent one goes straight up changes directions, goes through a cloud and reemerges"
