State,Month,Count
TX,"Aug, 2018",26
TX,"Sep, 2018",19
TX,"Oct, 2018",20
TX,"Nov, 2018",22
TX,"Dec, 2018",18
TX,Total,249
UT,"Jan, 2018",3
UT,"Feb, 2018",4
UT,"Mar, 2018",3
UT,"Apr, 2018",3
UT,"May, 2018",2
UT,"Jun, 2018",2
UT,"Jul, 2018",6
UT,"Aug, 2018",6
UT,"Sep, 2018",1
UT,"Oct, 2018",4
UT,"Nov, 2018",4
UT,"Dec, 2018",3
UT,Total,41
VA,"Jan, 2018",5
VA,"Feb, 2018",4
VA,"Mar, 2018",6
VA,"Apr, 2018",6
VA,"May, 2018",5
VA,"Jun, 2018",3
VA,"Jul, 2018",6
VA,"Aug, 2018",2
VA,"Sep, 2018",4
VA,"Oct, 2018",10
VA,"Nov, 2018",6
VA,"Dec, 2018",8
VA,Total,65
VT,"Jan, 2018",0
VT,"Feb, 2018",0
VT,"Mar, 2018",0
VT,"Apr, 2018",0
VT,"May, 2018",1
VT,"Jun, 2018",1
VT,"Jul, 2018",2
VT,"Aug, 2018",0
VT,"Sep, 2018",0
VT,"Oct, 2018",0
VT,"Nov, 2018",1
VT,"Dec, 2018",1
VT,Total,6
WA,"Jan, 2018",14
WA,"Feb, 2018",11
WA,"Mar, 2018",12
WA,"Apr, 2018",6
WA,"May, 2018",16
WA,"Jun, 2018",12
WA,"Jul, 2018",17
WA,"Aug, 2018",10
WA,"Sep, 2018",23
WA,"Oct, 2018",12
WA,"Nov, 2018",12
WA,"Dec, 2018",14
WA,Total,159
WI,"Jan, 2018",4
WI,"Feb, 2018",2
WI,"Mar, 2018",6
WI,"Apr, 2018",4
WI,"May, 2018",5
WI,"Jun, 2018",7
WI,"Jul, 2018",11
WI,"Aug, 2018",5
WI,"Sep, 2018",5
WI,"Oct, 2018",2
WI,"Nov, 2018",7
WI,"Dec, 2018",7
WI,Total,65
WV,"Jan, 2018",3
WV,"Feb, 2018",1
WV,"Mar, 2018",3
WV,"Apr, 2018",1
WV,"May, 2018",0
WV,"Jun, 2018",1
WV,"Jul, 2018",5
WV,"Aug, 2018",3
WV,"Sep, 2018",3
WV,"Oct, 2018",1
WV,"Nov, 2018",2
WV,"Dec, 2018",3
WV,Total,26
WY,"Jan, 2018",0
WY,"Feb, 2018",0
WY,"Mar, 2018",0
WY,"Apr, 2018",0
WY,"May, 2018",0
WY,"Jun, 2018",1
WY,"Jul, 2018",0
WY,"Aug, 2018",1
WY,"Sep, 2018",1
WY,"Oct, 2018",3
WY,"Nov, 2018",1
WY,"Dec, 2018",0
WY,Total,7
