,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
14,2/15/2018,2/15/2018,{cak} 405 culver,"Irvine , CA, US",,
,,6:00AM,,,,
15,2/14/2018,2/12/2018,{cak} doing a video about air gun than saw ufo after recording,"Santa cruz, CA, US",,ScreenShot20180214at7.42.47PM.png
,,12:00AM,,,,
16,2/11/2018,2/6/2018,"{cak} noticed a yellow orb like craft with a foggy haze on a crystal clear night,traveling from the west going east. observed til zippin away leaving huge gas vapors","santa rosa, CA, US",,
,,12:00AM,,,,
17,2/10/2018,2/10/2018,{jpg},"Willits, CA, US",,
,,6:40PM,,,,
18,2/10/2018,2/9/2018,"{jpg} Star-like object hovering then descending, changing color from red and white, then quickly flashing green and white.","Concord, CA, US",,
,,8:40PM,,,,
19,2/9/2018,2/9/2018,"{jpg} bright object with tail, dulled then seemed to ricochet became bright with tail, then changed direction","Monterey Park, CA, US",,
,,7:40PM,,,,
20,2/8/2018,2/8/2018,{jpg} 5-6 UFOs,"Eastvale, CA, US",,
,,6:35PM,,,,
21,2/8/2018,2/8/2018,{jpg} I,"Oakland, CA, US",,IMG4153.MOV
,,6:23AM,,,,IMG4344.MOV
22,2/7/2018,2/6/2018,{jpg} a small star like object high in the sky with cloudy mist around it moving from the southwest in an easterly direction.,"ukiah, CA, US",,
,,6:15PM,,,,
23,2/7/2018,2/6/2018,"{jpg} Stationary foggy star observed. Looked away for 2 seconds, foggy star rapidly moved south. Saw star between mist and mist trailing.","Bodega Bay, CA, US",,
,,12:00AM,,,,
24,2/7/2018,2/6/2018,{jpg} Third night in a row bright pulsating colored object passing over.,"Olancha, CA, US",,Feb06unk.gif
,,11:05PM,,,,
25,2/7/2018,2/6/2018,"{jpg} Two swirling green/blue luminated lights on sides of fuselage no other lights noticeable, oval shape body.","Ontario, CA, US",,
,,9:10PM,,,,
26,2/7/2018,2/6/2018,{jpg} Light covered in misty cloud changed shape then dispersed into hazy mist,"Coulterville , CA, US",,20180206183015.jpg
,,6:20PM,,,,20180206183018.jpg
,,,,,,20180206183144.jpg
27,2/6/2018,2/6/2018,{jpg} Weird bright light traveling in perfectly clear sky but seemed to be surrounded by mist.,"Brentwood, CA, US",,IMG20180206183122.jpg
,,6:26PM,,,,IMG20180206183126.jpg
,,,,,,IMG20180206183129.jpg
,,,,,,IMG20180206183130.jpg
28,2/6/2018,2/6/2018,{jpg} An object flying across the sky,"Escondido, CA, US",,
,,6:35PM,,,,
29,2/6/2018,2/6/2018,{jpg} a flying object with a cloud cloak on a clear sky with arch shaped wake turbulence,"la quinta, CA, US",,
,,6:56PM,,,,
30,2/6/2018,2/6/2018,{jpg} Please see description below,"Escondido, CA, US",,20180206184936.jpg
,,6:30PM,,,,20180206185032.jpg
,,,,,,20180206185059.jpg
,,,,,,20180206185127.jpg
,,,,,,20180206185212.jpg
,,,,,,20180206185258.jpg
,,,,,,20180206185327.jpg
,,,,,,20180206185349.jpg
31,2/6/2018,2/6/2018,"{jpg} Evening walk. Fuzzy orb light in west, plumes top & bottom. Appeared stationary, moved rapidly overhead to south. Plume appearance changed then vanished.","Redondo Beach, CA, US",,
,,6:27PM,,,,
32,2/6/2018,2/6/2018,"{jpg} Looked like clouded star or airplane, then produced a cone tail or double tail.","Loomis, CA, US",,
,,6:30PM,,,,
33,2/5/2018,2/5/2018,{jpg} Another bright object passed over our skycam similar to last night,"Olancha, CA, US",,Feb05unk.gif
,,7:26PM,,,,
34,2/5/2018,2/4/2018,"{jpg} Bright object passed over our night sky camera, not satellite or meteor.","Olancha, CA, US",,Feb04unk.gif
,,10:03PM,,,,
35,2/5/2018,2/3/2018,{jpg} Seen two flying plasma crafts,"Sacramento, CA, US",,28C8CAF8DDF34F249167F069F7C33B70.jpeg
