City ST,City,ST,State,Lat,Lng,,,,
Herndon VA,Herndon,VA,Virginia,38.9699,-77.3867,,,,
Herndon WV,Herndon,WV,West Virginia,37.5054,-81.3404,,,,
Herndon PA,Herndon,PA,Pennsylvania,40.7104,-76.8515,,,,
Herndon CA,Herndon,CA,California,36.8366,-119.9174,,,,
Herndon KS,Herndon,KS,Kansas,39.9088,-100.7858,,,,
Herndon KY,Herndon,KY,Kentucky,36.7337,-87.5653,,,,
Hernshaw WV,Hernshaw,WV,West Virginia,38.2251,-81.6023,,,,
Herod IL,Herod,IL,Illinois,37.5803,-88.4362,,,,
Herod GA,Herod,GA,Georgia,31.6988,-84.4413,,,,
Heron MT,Heron,MT,Montana,48.0637,-115.9801,,,,
Heron Bay AL,Heron Bay,AL,Alabama,30.3546,-88.1303,,,,
Heron Lake MN,Heron Lake,MN,Minnesota,43.7975,-95.3211,,,,
Herreid SD,Herreid,SD,South Dakota,45.8377,-100.0749,,,,
Herrick IL,Herrick,IL,Illinois,39.2196,-88.9848,,,,
Herrick SD,Herrick,SD,South Dakota,43.115,-99.1882,,,,
Herricks NY,Herricks,NY,New York,40.7567,-73.6635,,,,
Herriman UT,Herriman,UT,Utah,40.489,-112.0153,,,,
Herrin IL,Herrin,IL,Illinois,37.7984,-89.0304,,,,
Herrings NY,Herrings,NY,New York,44.0226,-75.6578,,,,
Herron MT,Herron,MT,Montana,48.5341,-109.7718,,,,
Herscher IL,Herscher,IL,Illinois,41.0491,-88.1006,,,,
Hersey MI,Hersey,MI,Michigan,43.8513,-85.442,,,,
Hershey NE,Hershey,NE,Nebraska,41.1602,-100.9984,,,,
Hershey PA,Hershey,PA,Pennsylvania,40.2806,-76.6458,,,,
Hertel WI,Hertel,WI,Wisconsin,45.8086,-92.1752,,,,
Hertford NC,Hertford,NC,North Carolina,36.1813,-76.4673,,,,
Herty TX,Herty,TX,Texas,31.3563,-94.6833,,,,
Herzman Mesa CO,Herzman Mesa,CO,Colorado,39.6105,-105.3103,,,,
Hesler KY,Hesler,KY,Kentucky,38.4637,-84.7772,,,,
Hesperia CA,Hesperia,CA,California,34.3974,-117.3144,,,,
Hesperia MI,Hesperia,MI,Michigan,43.5691,-86.0407,,,,
Hesperus CO,Hesperus,CO,Colorado,37.2861,-108.0395,,,,
Hess MD,Hess,MD,Maryland,39.5559,-76.5255,,,,
Hessel MI,Hessel,MI,Michigan,46.0042,-84.4259,,,,
Hessmer LA,Hessmer,LA,Louisiana,31.0534,-92.1214,,,,
Hesston KS,Hesston,KS,Kansas,38.1403,-97.4266,,,,
Hessville OH,Hessville,OH,Ohio,41.403,-83.243,,,,
Hester OK,Hester,OK,Oklahoma,34.8012,-99.4334,,,,
Hetland SD,Hetland,SD,South Dakota,44.3771,-97.2345,,,,
Hettick IL,Hettick,IL,Illinois,39.3557,-90.0372,,,,
Hettinger ND,Hettinger,ND,North Dakota,46.0034,-102.6349,,,,
Heuvelton NY,Heuvelton,NY,New York,44.617,-75.4046,,,,
Hewins KS,Hewins,KS,Kansas,37.0409,-96.4083,,,,
Hewitt WI,Hewitt,WI,Wisconsin,44.6426,-90.1048,,,,
Hewitt NJ,Hewitt,NJ,New Jersey,41.1418,-74.3107,,,,
Hewitt TX,Hewitt,TX,Texas,31.452,-97.1962,,,,
Hewitt MN,Hewitt,MN,Minnesota,46.324,-95.0902,,,,
Hewlett VA,Hewlett,VA,Virginia,37.9224,-77.5764,,,,
Hewlett NY,Hewlett,NY,New York,40.6422,-73.6942,,,,
Hewlett Bay Park NY,Hewlett Bay Park,NY,New York,40.6346,-73.6953,,,,
Hewlett Harbor NY,Hewlett Harbor,NY,New York,40.6327,-73.6842,,,,
Hewlett Neck NY,Hewlett Neck,NY,New York,40.6247,-73.6981,,,,
Hext TX,Hext,TX,Texas,30.8691,-99.5287,,,,
Heyburn ID,Heyburn,ID,Idaho,42.5598,-113.7618,,,,
Heyworth IL,Heyworth,IL,Illinois,40.3153,-88.9778,,,,
Hialeah FL,Hialeah,FL,Florida,25.8696,-80.3045,,,,
Hialeah Gardens FL,Hialeah Gardens,FL,Florida,25.888,-80.3573,,,,
Hiattville KS,Hiattville,KS,Kansas,37.7223,-94.8716,,,,
Hiawassee GA,Hiawassee,GA,Georgia,34.9501,-83.7529,,,,
Hiawatha IA,Hiawatha,IA,Iowa,42.0518,-91.6899,,,,
Hiawatha KS,Hiawatha,KS,Kansas,39.8515,-95.538,,,,
Hibbing MN,Hibbing,MN,Minnesota,47.3981,-92.9487,,,,
Hibernia NJ,Hibernia,NJ,New Jersey,40.944,-74.4927,,,,
Hickman NE,Hickman,NE,Nebraska,40.624,-96.6309,,,,
Hickman CA,Hickman,CA,California,37.6264,-120.7527,,,,
Hickman KY,Hickman,KY,Kentucky,36.565,-89.1836,,,,
Hickok KS,Hickok,KS,Kansas,37.5611,-101.2288,,,,
Hickory NC,Hickory,NC,North Carolina,35.7425,-81.323,,,,
Hickory PA,Hickory,PA,Pennsylvania,40.2958,-80.3052,,,,
Hickory OK,Hickory,OK,Oklahoma,34.557,-96.858,,,,
Hickory MD,Hickory,MD,Maryland,39.5787,-76.3452,,,,
Hickory MS,Hickory,MS,Mississippi,32.3167,-89.0217,,,,
Hickory KY,Hickory,KY,Kentucky,36.8174,-88.6484,,,,
Hickory Corners MI,Hickory Corners,MI,Michigan,42.4363,-85.3793,,,,
Hickory Creek TX,Hickory Creek,TX,Texas,33.1102,-97.0298,,,,
Hickory Flat MS,Hickory Flat,MS,Mississippi,34.616,-89.1913,,,,
Hickory Grove NC,Hickory Grove,NC,North Carolina,35.2288,-80.7206,,,,
Hickory Grove SC,Hickory Grove,SC,South Carolina,34.9786,-81.418,,,,
Hickory Hill PA,Hickory Hill,PA,Pennsylvania,39.7484,-75.9208,,,,
Hickory Hill KY,Hickory Hill,KY,Kentucky,38.2877,-85.5679,,,,
Hickory Hills PA,Hickory Hills,PA,Pennsylvania,41.0347,-75.8221,,,,
Hickory Hills IL,Hickory Hills,IL,Illinois,41.7248,-87.8281,,,,
Hickory Plains AR,Hickory Plains,AR,Arkansas,34.9901,-91.7368,,,,
Hickory Ridge AR,Hickory Ridge,AR,Arkansas,35.4026,-90.9943,,,,
Hickory Valley TN,Hickory Valley,TN,Tennessee,35.1548,-89.126,,,,
Hickox GA,Hickox,GA,Georgia,31.1505,-81.9965,,,,
Hicks LA,Hicks,LA,Louisiana,31.1849,-93.016,,,,
Hickson ND,Hickson,ND,North Dakota,46.6694,-96.8104,,,,
Hicksville NY,Hicksville,NY,New York,40.7637,-73.5245,,,,
Hicksville OH,Hicksville,OH,Ohio,41.2944,-84.7648,,,,
Hico WV,Hico,WV,West Virginia,38.1166,-81.0112,,,,
Hico TX,Hico,TX,Texas,31.9857,-98.029,,,,
Hico LA,Hico,LA,Louisiana,32.7449,-92.7138,,,,
Hidalgo TX,Hidalgo,TX,Texas,26.108,-98.2481,,,,
Hidalgo IL,Hidalgo,IL,Illinois,39.1559,-88.1491,,,,
Hidden Hills CA,Hidden Hills,CA,California,34.1637,-118.6612,,,,
Hidden Lake CO,Hidden Lake,CO,Colorado,40.1055,-105.4777,,,,
Hidden Meadows CA,Hidden Meadows,CA,California,33.2236,-117.1198,,,,
Hidden Timber SD,Hidden Timber,SD,South Dakota,43.2294,-100.4215,,,,
Hidden Valley IN,Hidden Valley,IN,Indiana,39.1674,-84.8445,,,,
Hidden Valley Lake CA,Hidden Valley Lake,CA,California,38.8004,-122.5505,,,,
Hiddenite NC,Hiddenite,NC,North Carolina,35.9053,-81.086,,,,
Hideaway TX,Hideaway,TX,Texas,32.489,-95.4578,,,,
Hide-A-Way Hills OH,Hide-A-Way Hills,OH,Ohio,39.6551,-82.466,,,,
Hide-A-Way Lake MS,Hide-A-Way Lake,MS,Mississippi,30.574,-89.6417,,,,
Hideout UT,Hideout,UT,Utah,40.643,-111.4007,,,,
Higbee MO,Higbee,MO,Missouri,39.3061,-92.5128,,,,
Higden AR,Higden,AR,Arkansas,35.5665,-92.2047,,,,
Higganum CT,Higganum,CT,Connecticut,41.49,-72.5562,,,,
Higgins TX,Higgins,TX,Texas,36.121,-100.0274,,,,
Higginson AR,Higginson,AR,Arkansas,35.1956,-91.7144,,,,
Higginsport OH,Higginsport,OH,Ohio,38.79,-83.9673,,,,
Higginsville MO,Higginsville,MO,Missouri,39.0665,-93.7268,,,,
Higgston GA,Higgston,GA,Georgia,32.2164,-82.467,,,,
High Amana IA,High Amana,IA,Iowa,41.801,-91.9419,,,,
High Bridge WI,High Bridge,WI,Wisconsin,46.3888,-90.7363,,,,
High Bridge NJ,High Bridge,NJ,New Jersey,40.6684,-74.8938,,,,
High Bridge KY,High Bridge,KY,Kentucky,37.8299,-84.7096,,,,
High Falls NY,High Falls,NY,New York,41.8275,-74.1184,,,,
High Hill MO,High Hill,MO,Missouri,38.8753,-91.3776,,,,
High Island TX,High Island,TX,Texas,29.5669,-94.3935,,,,
High Landing MN,High Landing,MN,Minnesota,48.0494,-95.8086,,,,
High Point FL,High Point,FL,Florida,28.5474,-82.5206,,,,
High Point NC,High Point,NC,North Carolina,35.9899,-79.9937,,,,
High Point MO,High Point,MO,Missouri,38.4845,-92.5907,,,,
High Ridge MO,High Ridge,MO,Missouri,38.4609,-90.534,,,,
High Rock WA,High Rock,WA,Washington,47.8129,-121.9826,,,,
High Rock NC,High Rock,NC,North Carolina,35.5968,-80.2212,,,,
High Rolls NM,High Rolls,NM,New Mexico,32.9388,-105.8214,,,,
High Shoals NC,High Shoals,NC,North Carolina,35.3957,-81.2047,,,,
High Springs FL,High Springs,FL,Florida,29.808,-82.5956,,,,
Highcliff PA,Highcliff,PA,Pennsylvania,40.5267,-80.0503,,,,
Highfill AR,Highfill,AR,Arkansas,36.2765,-94.3235,,,,
Highgrove CA,Highgrove,CA,California,34.0106,-117.3098,,,,
Highland WI,Highland,WI,Wisconsin,43.0475,-90.3802,,,,
Highland FL,Highland,FL,Florida,30.1125,-82.0457,,,,
Highland NY,Highland,NY,New York,41.7179,-73.9646,,,,
Highland CA,Highland,CA,California,34.1113,-117.1653,,,,
Highland AR,Highland,AR,Arkansas,36.2655,-91.5183,,,,
Highland IL,Highland,IL,Illinois,38.7606,-89.681,,,,
Highland IN,Highland,IN,Indiana,41.5484,-87.4587,,,,
Highland MD,Highland,MD,Maryland,39.1814,-76.957,,,,
Highland OH,Highland,OH,Ohio,39.3439,-83.6001,,,,
Highland UT,Highland,UT,Utah,40.4274,-111.7956,,,,
Highland MN,Highland,MN,Minnesota,43.6808,-91.8702,,,,
Highland KS,Highland,KS,Kansas,39.8604,-95.2651,,,,
Highland Acres DE,Highland Acres,DE,Delaware,39.1164,-75.5217,,,,
Highland Beach FL,Highland Beach,FL,Florida,26.4071,-80.0665,,,,
Highland Beach MD,Highland Beach,MD,Maryland,38.9313,-76.466,,,,
Highland Center IA,Highland Center,IA,Iowa,41.1264,-92.3532,,,,
Highland City FL,Highland City,FL,Florida,27.9631,-81.8779,,,,
Highland Falls NY,Highland Falls,NY,New York,41.3644,-73.9683,,,,
Highland Haven TX,Highland Haven,TX,Texas,30.6073,-98.395,,,,
Highland Heights OH,Highland Heights,OH,Ohio,41.5518,-81.4691,,,,
Highland Heights KY,Highland Heights,KY,Kentucky,39.0355,-84.4567,,,,
Highland Hills IL,Highland Hills,IL,Illinois,41.8492,-88.0045,,,,
Highland Hills OH,Highland Hills,OH,Ohio,41.4507,-81.5191,,,,
Highland Holiday OH,Highland Holiday,OH,Ohio,39.1949,-83.4703,,,,
Highland Home AL,Highland Home,AL,Alabama,31.9535,-86.3139,,,,
Highland Lake AL,Highland Lake,AL,Alabama,33.8876,-86.4244,,,,
Highland Lake MA,Highland Lake,MA,Massachusetts,42.1265,-71.3098,,,,
Highland Lakes NJ,Highland Lakes,NJ,New Jersey,41.1716,-74.4643,,,,
Highland Mills NY,Highland Mills,NY,New York,41.347,-74.1263,,,,
Highland Mills GA,Highland Mills,GA,Georgia,33.2779,-84.2827,,,,
Highland Park FL,Highland Park,FL,Florida,27.8612,-81.5617,,,,
Highland Park NJ,Highland Park,NJ,New Jersey,40.5006,-74.4284,,,,
Highland Park TX,Highland Park,TX,Texas,32.8311,-96.8012,,,,
Highland Park PA,Highland Park,PA,Pennsylvania,40.6216,-77.5707,,,,
Highland Park IL,Highland Park,IL,Illinois,42.1825,-87.8105,,,,
Highland Park MI,Highland Park,MI,Michigan,42.4052,-83.0976,,,,
Highland Springs VA,Highland Springs,VA,Virginia,37.5517,-77.3285,,,,
Highland View FL,Highland View,FL,Florida,29.838,-85.3158,,,,
Highland Village TX,Highland Village,TX,Texas,33.0897,-97.0615,,,,
Highlands NJ,Highlands,NJ,New Jersey,40.4037,-73.9898,,,,
Highlands TX,Highlands,TX,Texas,29.813,-95.0577,,,,
Highlands NC,Highlands,NC,North Carolina,35.0539,-83.1976,,,,
Highlands CA,Highlands,CA,California,37.5199,-122.3439,,,,
Highlands Ranch CO,Highlands Ranch,CO,Colorado,39.5419,-104.9708,,,,
Highlandville IA,Highlandville,IA,Iowa,43.4422,-91.6685,,,,
Highlandville MO,Highlandville,MO,Missouri,36.9409,-93.283,,,,
Highmore SD,Highmore,SD,South Dakota,44.5214,-99.4393,,,,
Highpoint FL,Highpoint,FL,Florida,27.917,-82.7129,,,,
Highpoint OH,Highpoint,OH,Ohio,39.2892,-84.3472,,,,
Highpoint MS,Highpoint,MS,Mississippi,33.1882,-89.1462,,,,
Highspire PA,Highspire,PA,Pennsylvania,40.2085,-76.7851,,,,
Hightstown NJ,Hightstown,NJ,New Jersey,40.2685,-74.525,,,,
Hightsville NC,Hightsville,NC,North Carolina,34.2667,-77.9342,,,,
Highwood IL,Highwood,IL,Illinois,42.206,-87.8129,,,,
Highwood MT,Highwood,MT,Montana,47.5992,-110.7676,,,,
Highwoods IN,Highwoods,IN,Indiana,39.8442,-86.1833,,,,
Higley AZ,Higley,AZ,Arizona,33.3073,-111.721,,,,
Hiko NV,Hiko,NV,Nevada,37.6063,-115.2018,,,,
Hiland WY,Hiland,WY,Wyoming,43.1152,-107.349,,,,
Hilbert WI,Hilbert,WI,Wisconsin,44.1419,-88.1607,,,,
Hilburn TX,Hilburn,TX,Texas,34.3656,-102.0905,,,,
Hilda SC,Hilda,SC,South Carolina,33.274,-81.2466,,,,
Hildale UT,Hildale,UT,Utah,37.0171,-112.9786,,,,
Hildebran NC,Hildebran,NC,North Carolina,35.7181,-81.4209,,,,
Hilden FL,Hilden,FL,Florida,30.0658,-81.4401,,,,
Hildreth NE,Hildreth,NE,Nebraska,40.3378,-99.0458,,,,
Hilgard OR,Hilgard,OR,Oregon,45.3521,-118.228,,,,
Hilger MT,Hilger,MT,Montana,47.2539,-109.3599,,,,
Hill City ID,Hill City,ID,Idaho,43.3005,-115.0512,,,,
Hill City MN,Hill City,MN,Minnesota,46.98,-93.596,,,,
Hill City KS,Hill City,KS,Kansas,39.3672,-99.8461,,,,
Hill City SD,Hill City,SD,South Dakota,43.9338,-103.5693,,,,
Hill Country Village TX,Hill Country Village,TX,Texas,29.583,-98.4891,,,,
Hill 'n Dale FL,Hill 'n Dale,FL,Florida,28.519,-82.2918,,,,
Hill Top KY,Hill Top,KY,Kentucky,38.3604,-83.8391,,,,
Hill View Heights WY,Hill View Heights,WY,Wyoming,43.8159,-104.1517,,,,
Hillandale MD,Hillandale,MD,Maryland,39.0254,-76.9751,,,,
Hillburn NY,Hillburn,NY,New York,41.1264,-74.1704,,,,
Hillcrest TX,Hillcrest,TX,Texas,29.3924,-95.2233,,,,
Hillcrest NY,Hillcrest,NY,New York,41.1298,-74.035,,,,
Hillcrest IL,Hillcrest,IL,Illinois,41.9682,-89.0644,,,,
Hillcrest Heights FL,Hillcrest Heights,FL,Florida,27.8083,-81.5694,,,,
Hillcrest Heights MD,Hillcrest Heights,MD,Maryland,38.8373,-76.9641,,,,
Hilldale PA,Hilldale,PA,Pennsylvania,41.2869,-75.8356,,,,
Hillemann AR,Hillemann,AR,Arkansas,35.1226,-91.089,,,,
Hiller PA,Hiller,PA,Pennsylvania,40.0082,-79.9043,,,,
Hillhouse MS,Hillhouse,MS,Mississippi,34.1257,-90.8182,,,,
Hilliard FL,Hilliard,FL,Florida,30.6869,-81.9212,,,,
Hilliard OH,Hilliard,OH,Ohio,40.0348,-83.1547,,,,
Hilliards PA,Hilliards,PA,Pennsylvania,41.0859,-79.8334,,,,
Hillister TX,Hillister,TX,Texas,30.6677,-94.3813,,,,
Hillman MN,Hillman,MN,Minnesota,46.0077,-93.8885,,,,
Hillman MI,Hillman,MI,Michigan,45.0644,-83.8975,,,,
Hillrose CO,Hillrose,CO,Colorado,40.3248,-103.5223,,,,
Hills IA,Hills,IA,Iowa,41.5615,-91.5365,,,,
Hills MN,Hills,MN,Minnesota,43.5274,-96.3595,,,,
Hills and Dales OH,Hills and Dales,OH,Ohio,40.829,-81.444,,,,
Hills and Dales KY,Hills and Dales,KY,Kentucky,38.3005,-85.6249,,,,
Hills Prairie TX,Hills Prairie,TX,Texas,30.0516,-97.2919,,,,
Hillsboro VA,Hillsboro,VA,Virginia,39.1997,-77.7244,,,,
Hillsboro WI,Hillsboro,WI,Wisconsin,43.6559,-90.3365,,,,
Hillsboro WV,Hillsboro,WV,West Virginia,38.1353,-80.2136,,,,
Hillsboro NM,Hillsboro,NM,New Mexico,32.9218,-107.5777,,,,
Hillsboro TX,Hillsboro,TX,Texas,32.0092,-97.1151,,,,
Hillsboro ND,Hillsboro,ND,North Dakota,47.403,-97.0633,,,,
Hillsboro TN,Hillsboro,TN,Tennessee,35.4086,-85.9639,,,,
Hillsboro AL,Hillsboro,AL,Alabama,34.6408,-87.1837,,,,
Hillsboro IL,Hillsboro,IL,Illinois,39.167,-89.4735,,,,
Hillsboro GA,Hillsboro,GA,Georgia,33.1799,-83.641,,,,
Hillsboro IN,Hillsboro,IN,Indiana,40.1089,-87.1576,,,,
Hillsboro IA,Hillsboro,IA,Iowa,40.8374,-91.7125,,,,
Hillsboro MD,Hillsboro,MD,Maryland,38.917,-75.9416,,,,
Hillsboro OH,Hillsboro,OH,Ohio,39.2124,-83.6113,,,,
Hillsboro MO,Hillsboro,MO,Missouri,38.233,-90.567,,,,
Hillsboro KS,Hillsboro,KS,Kansas,38.3523,-97.1994,,,,
Hillsboro MS,Hillsboro,MS,Mississippi,32.4491,-89.4889,,,,
Hillsboro KY,Hillsboro,KY,Kentucky,38.2934,-83.6588,,,,
Hillsboro OR,Hillsboro,OR,Oregon,45.5289,-122.9373,,,,
Hillsboro Beach FL,Hillsboro Beach,FL,Florida,26.2838,-80.0796,,,,
Hillsboro Pines FL,Hillsboro Pines,FL,Florida,26.3252,-80.1947,,,,
Hillsborough NC,Hillsborough,NC,North Carolina,36.068,-79.0994,,,,
Hillsborough CA,Hillsborough,CA,California,37.5573,-122.3587,,,,
Hillsdale WI,Hillsdale,WI,Wisconsin,45.3158,-91.8596,,,,
Hillsdale WY,Hillsdale,WY,Wyoming,41.208,-104.4744,,,,
Hillsdale NJ,Hillsdale,NJ,New Jersey,41.0074,-74.0441,,,,
Hillsdale NC,Hillsdale,NC,North Carolina,36.0051,-80.4395,,,,
Hillsdale IL,Hillsdale,IL,Illinois,41.6109,-90.1751,,,,
Hillsdale IN,Hillsdale,IN,Indiana,39.7859,-87.3903,,,,
Hillsdale OK,Hillsdale,OK,Oklahoma,36.5635,-97.9926,,,,
Hillsdale MO,Hillsdale,MO,Missouri,38.6857,-90.2868,,,,
Hillsdale MI,Hillsdale,MI,Michigan,41.9274,-84.6365,,,,
Hillsdale KS,Hillsdale,KS,Kansas,38.6597,-94.8569,,,,
Hillside NY,Hillside,NY,New York,41.9177,-74.0336,,,,
Hillside CO,Hillside,CO,Colorado,38.2653,-105.6117,,,,
Hillside IL,Hillside,IL,Illinois,41.8674,-87.9019,,,,
Hillside AZ,Hillside,AZ,Arizona,34.4184,-112.9171,,,,
Hillside Lake NY,Hillside Lake,NY,New York,41.6191,-73.7944,,,,
Hillside Manor NY,Hillside Manor,NY,New York,40.7504,-73.6729,,,,
Hillsview SD,Hillsview,SD,South Dakota,45.6642,-99.5607,,,,
Hillsville VA,Hillsville,VA,Virginia,36.7612,-80.7371,,,,
Hilltop WV,Hilltop,WV,West Virginia,37.9392,-81.1527,,,,
Hilltop TX,Hilltop,TX,Texas,28.6938,-99.1761,,,,
Hilltop GA,Hilltop,GA,Georgia,33.1063,-84.4383,,,,
Hilltop OH,Hilltop,OH,Ohio,41.1644,-80.7419,,,,
Hilltop MN,Hilltop,MN,Minnesota,45.0536,-93.2501,,,,
Hilltop Colonia TX,Hilltop Colonia,TX,Texas,26.404,-98.9207,,,,
Hilltop Lakes TX,Hilltop Lakes,TX,Texas,31.0755,-96.1914,,,,
Hillview IL,Hillview,IL,Illinois,39.4495,-90.5386,,,,
Hillview MN,Hillview,MN,Minnesota,46.6802,-95.2578,,,,
Hillview KY,Hillview,KY,Kentucky,38.055,-85.6793,,,,
Hilmar CA,Hilmar,CA,California,37.4085,-120.8502,,,,
Hilshire Village TX,Hilshire Village,TX,Texas,29.7908,-95.4885,,,,
Hilt CA,Hilt,CA,California,41.9949,-122.6234,,,,
Hilton NY,Hilton,NY,New York,43.29,-77.7925,,,,
Hilton Head Island SC,Hilton Head Island,SC,South Carolina,32.1896,-80.7499,,,,
Hiltonia GA,Hiltonia,GA,Georgia,32.8833,-81.6613,,,,
Hinchcliff MS,Hinchcliff,MS,Mississippi,34.3098,-90.2737,,,,
Hinckley IL,Hinckley,IL,Illinois,41.7714,-88.6397,,,,
Hinckley ME,Hinckley,ME,Maine,44.6856,-69.6325,,,,
Hinckley UT,Hinckley,UT,Utah,39.3336,-112.6736,,,,
Hinckley MN,Hinckley,MN,Minnesota,46.0124,-92.9263,,,,
Hindman KY,Hindman,KY,Kentucky,37.335,-82.9819,,,,
Hindsboro IL,Hindsboro,IL,Illinois,39.685,-88.1348,,,,
Hindsville AR,Hindsville,AR,Arkansas,36.1462,-93.8623,,,,
Hi-Nella NJ,Hi-Nella,NJ,New Jersey,39.8366,-75.0217,,,,
Hines WI,Hines,WI,Wisconsin,46.543,-91.9082,,,,
Hines MN,Hines,MN,Minnesota,47.6861,-94.6328,,,,
Hines OR,Hines,OR,Oregon,43.557,-119.0804,,,,
Hinesburg VT,Hinesburg,VT,Vermont,44.3299,-73.1062,,,,
Hineston LA,Hineston,LA,Louisiana,31.1435,-92.7588,,,,
Hinesville GA,Hinesville,GA,Georgia,31.8269,-81.6216,,,,
Hingham WI,Hingham,WI,Wisconsin,43.6464,-87.9151,,,,
Hingham MA,Hingham,MA,Massachusetts,42.2366,-70.8879,,,,
Hingham MT,Hingham,MT,Montana,48.5554,-110.4213,,,,
Hinkley CA,Hinkley,CA,California,34.9347,-117.1992,,,,
Hinsdale NH,Hinsdale,NH,New Hampshire,42.7888,-72.4888,,,,
Hinsdale IL,Hinsdale,IL,Illinois,41.8005,-87.9273,,,,
Hinsdale MT,Hinsdale,MT,Montana,48.4036,-107.0582,,,,
Hinson FL,Hinson,FL,Florida,30.6474,-84.4166,,,,
Hinton WV,Hinton,WV,West Virginia,37.6651,-80.8828,,,,
Hinton IA,Hinton,IA,Iowa,42.6212,-96.2974,,,,
Hinton OK,Hinton,OK,Oklahoma,35.4797,-98.3588,,,,
Hinton KY,Hinton,KY,Kentucky,38.4573,-84.5294,,,,
Hiouchi CA,Hiouchi,CA,California,41.7937,-124.0663,,,,
Hiram AR,Hiram,AR,Arkansas,35.4692,-91.8679,,,,
Hiram GA,Hiram,GA,Georgia,33.8773,-84.7707,,,,
Hiram OH,Hiram,OH,Ohio,41.3113,-81.1429,,,,
Hiseville KY,Hiseville,KY,Kentucky,37.1008,-85.8149,,,,
Hissop AL,Hissop,AL,Alabama,32.8746,-86.1159,,,,
Hitchcock TX,Hitchcock,TX,Texas,29.2945,-95.025,,,,
Hitchcock OK,Hitchcock,OK,Oklahoma,35.9676,-98.3497,,,,
Hitchcock SD,Hitchcock,SD,South Dakota,44.6294,-98.4082,,,,
Hitchita OK,Hitchita,OK,Oklahoma,35.5198,-95.7518,,,,
Hitchland TX,Hitchland,TX,Texas,36.4989,-101.3185,,,,
Hiteman IA,Hiteman,IA,Iowa,41.0589,-92.8921,,,,
Hitterdal MN,Hitterdal,MN,Minnesota,46.9779,-96.2586,,,,
Hiwannee MS,Hiwannee,MS,Mississippi,31.8102,-88.6906,,,,
Hiwasse AR,Hiwasse,AR,Arkansas,36.4317,-94.3338,,,,
Hiwassee VA,Hiwassee,VA,Virginia,36.9682,-80.7044,,,,
Hiwassee NC,Hiwassee,NC,North Carolina,35.1642,-84.2541,,,,
Hixson TN,Hixson,TN,Tennessee,35.1406,-85.2327,,,,
Hixton WI,Hixton,WI,Wisconsin,44.3831,-91.0153,,,,
Hoadly VA,Hoadly,VA,Virginia,38.6804,-77.3592,,,,
Hoagland IN,Hoagland,IN,Indiana,40.952,-84.9955,,,,
Hoback WY,Hoback,WY,Wyoming,43.3082,-110.7443,,,,
Hobart WA,Hobart,WA,Washington,47.412,-121.996,,,,
Hobart WI,Hobart,WI,Wisconsin,44.4965,-88.1602,,,,
Hobart NY,Hobart,NY,New York,42.3715,-74.6691,,,,
Hobart IN,Hobart,IN,Indiana,41.5139,-87.2728,,,,
Hobart OK,Hobart,OK,Oklahoma,35.0246,-99.0875,,,,
Hobbs NM,Hobbs,NM,New Mexico,32.7281,-103.1597,,,,
Hobe Sound FL,Hobe Sound,FL,Florida,27.0729,-80.1425,,,,
Hoberg MO,Hoberg,MO,Missouri,37.0682,-93.8493,,,,
Hobergs CA,Hobergs,CA,California,38.8435,-122.7244,,,,
Hobgood NC,Hobgood,NC,North Carolina,36.0267,-77.394,,,,
Hoboken NJ,Hoboken,NJ,New Jersey,40.7452,-74.0279,,,,
Hoboken GA,Hoboken,GA,Georgia,31.1813,-82.1313,,,,
Hobson AL,Hobson,AL,Alabama,31.4724,-88.1533,,,,
Hobson MT,Hobson,MT,Montana,46.9996,-109.8732,,,,
Hobson KY,Hobson,KY,Kentucky,37.4256,-85.3689,,,,
Hobson City AL,Hobson City,AL,Alabama,33.6149,-85.856,,,,
Hobucken NC,Hobucken,NC,North Carolina,35.2544,-76.5712,,,,
Hochheim TX,Hochheim,TX,Texas,29.3125,-97.2917,,,,
Hockessin DE,Hockessin,DE,Delaware,39.7837,-75.6815,,,,
Hockingport OH,Hockingport,OH,Ohio,39.1907,-81.7495,,,,
Hockinson WA,Hockinson,WA,Washington,45.7302,-122.4833,,,,
Hockley TX,Hockley,TX,Texas,30.0269,-95.8444,,,,
Hodge LA,Hodge,LA,Louisiana,32.2719,-92.7303,,,,
Hodge CA,Hodge,CA,California,34.8155,-117.1934,,,,
Hodgenville KY,Hodgenville,KY,Kentucky,37.5668,-85.7353,,,,
Hodges AL,Hodges,AL,Alabama,34.334,-87.9299,,,,
Hodges SC,Hodges,SC,South Carolina,34.2876,-82.2479,,,,
Hodgesville WV,Hodgesville,WV,West Virginia,39.0659,-80.1942,,,,
Hodgkins IL,Hodgkins,IL,Illinois,41.7668,-87.8603,,,,
Hoehne CO,Hoehne,CO,Colorado,37.2815,-104.389,,,,
Hoffman NC,Hoffman,NC,North Carolina,35.0313,-79.5491,,,,
Hoffman NY,Hoffman,NY,New York,43.0695,-78.8228,,,,
Hoffman IL,Hoffman,IL,Illinois,38.5404,-89.2644,,,,
Hoffman OK,Hoffman,OK,Oklahoma,35.4889,-95.8449,,,,
Hoffman MN,Hoffman,MN,Minnesota,45.8341,-95.7875,,,,
Hoffman Estates IL,Hoffman Estates,IL,Illinois,42.0638,-88.1463,,,,
Hogansburg NY,Hogansburg,NY,New York,44.9739,-74.6632,,,,
