City ST,City,ST,State,Lat,Lng,,,,
Adelino NM,Adelino,NM,New Mexico,34.7066,-106.7304,,,,
Adell WI,Adell,WI,Wisconsin,43.6214,-87.9481,,,,
Adelphi MD,Adelphi,MD,Maryland,39.0018,-76.9648,,,,
Adelphi OH,Adelphi,OH,Ohio,39.4647,-82.7456,,,,
Adelphia NJ,Adelphia,NJ,New Jersey,40.2182,-74.2563,,,,
Adena OH,Adena,OH,Ohio,40.2166,-80.8762,,,,
Adgateville GA,Adgateville,GA,Georgia,33.2232,-83.671,,,,
Adin CA,Adin,CA,California,41.1964,-120.9494,,,,
Admire KS,Admire,KS,Kansas,38.6409,-96.1021,,,,
Adna WA,Adna,WA,Washington,46.629,-123.0612,,,,
Adolphus KY,Adolphus,KY,Kentucky,36.6517,-86.2614,,,,
Adona AR,Adona,AR,Arkansas,35.04,-92.899,,,,
Adrian TX,Adrian,TX,Texas,35.2737,-102.6673,,,,
Adrian GA,Adrian,GA,Georgia,32.5306,-82.592,,,,
Adrian MO,Adrian,MO,Missouri,38.396,-94.3498,,,,
Adrian MN,Adrian,MN,Minnesota,43.6333,-95.9334,,,,
Adrian MI,Adrian,MI,Michigan,41.8994,-84.0447,,,,
Adrian OR,Adrian,OR,Oregon,43.7408,-117.0709,,,,
Advance NC,Advance,NC,North Carolina,35.9468,-80.4044,,,,
Advance IN,Advance,IN,Indiana,39.9954,-86.6204,,,,
Advance MO,Advance,MO,Missouri,37.1038,-89.9119,,,,
Advance MI,Advance,MI,Michigan,45.2161,-85.0807,,,,
Adwolf VA,Adwolf,VA,Virginia,36.7929,-81.5927,,,,
Ady TX,Ady,TX,Texas,35.4856,-102.1324,,,,
Ady MD,Ady,MD,Maryland,39.6387,-76.3327,,,,
Aeneas WA,Aeneas,WA,Washington,48.5474,-118.9786,,,,
Affton MO,Affton,MO,Missouri,38.5493,-90.3256,,,,
Afton WY,Afton,WY,Wyoming,42.7295,-110.9317,,,,
Afton NY,Afton,NY,New York,42.2291,-75.5247,,,,
Afton IA,Afton,IA,Iowa,41.0276,-94.1954,,,,
Afton OK,Afton,OK,Oklahoma,36.6965,-94.9579,,,,
Afton MN,Afton,MN,Minnesota,44.9042,-92.8173,,,,
Agar SD,Agar,SD,South Dakota,44.8392,-100.0734,,,,
Agate CO,Agate,CO,Colorado,39.4617,-103.9422,,,,
Agate Beach OR,Agate Beach,OR,Oregon,44.6773,-124.0618,,,,
Agawam OK,Agawam,OK,Oklahoma,34.8734,-97.9462,,,,
Agawam MA,Agawam,MA,Massachusetts,42.0695,-72.6148,,,,
Agawam MT,Agawam,MT,Montana,48,-112.1675,,,,
Agency IA,Agency,IA,Iowa,40.9975,-92.3072,,,,
Agency MO,Agency,MO,Missouri,39.6699,-94.7588,,,,
Agenda KS,Agenda,KS,Kansas,39.7073,-97.4323,,,,
Ages KY,Ages,KY,Kentucky,36.8569,-83.2426,,,,
Agnes TX,Agnes,TX,Texas,32.9793,-97.7886,,,,
Agness OR,Agness,OR,Oregon,42.5565,-124.069,,,,
Agnew NE,Agnew,NE,Nebraska,41.0169,-96.8147,,,,
Agnos AR,Agnos,AR,Arkansas,36.2773,-91.6915,,,,
