state_long,state_short,city_state,mj_legal,lat,long,sighting_date,short_description,,
California,CA,Antioch CA,Yes,37.9789,-121.7958,1/22/2018,"{jpg} traveling east bound Hwy 4 about 21:10 saw what I thought was a large plane and when pointed out to my wife she said it just hovering. I looked back over head and saw a large black Triangle with a white light at each point, leading light was flashing",,
Oklahoma,OK,Antlers OK,Yes,34.2325,-95.6214,1/25/2018,{jpg} bright quite moving very fast not airplane or military jet way to fast,,
California,CA,Anza CA,Yes,33.5679,-116.6966,4/14/2018,"{cak} Object moving quickly across Anza Burro. Object had a random pulse of light, come to a complete stop and quick flash of light. One of the flashes looked like forked lighting going upward. Quickly moved north and shot south and disappeared.",,
Arizona,AZ,Apache Junction AZ,Yes,33.3982,-111.5349,10/14/2018,{rjl} Glowing white and orange orbs traveling slowly then disappearing into nothing,,
Pennsylvania,PA,Apollo PA,Yes,40.5849,-79.5648,9/11/2018,{tjd} Got into a confrontation and captured it after it accidentally grabbed me by my genitalia and tried to pull me off my bed. I then back handed it in its face and grabbed it by its neck and by doing this it was unable to become invisible.,,
Florida,FL,Apopka FL,Yes,28.7006,-81.5303,11/23/2018,{rjl} life changing,,
California,CA,Apple Valley CA,Yes,34.5329,-117.2102,8/7/2018,{jpg} Witness a triangular shaped UFO the size of a Football stadium hovering above the mountains east of my house,,
California,CA,Apple Valley CA,Yes,34.5329,-117.2102,12/12/2018,"{cak} Driving down towards freeway, it was right over the mountain and from there flew over us. As I looked back at my daughter for split second, it was gone.",,
Wisconsin,WI,Appleton WI,No,44.2775,-88.3896,1/18/2018,{rjl} a single bright point of light against a clear sky background,,
Georgia,GA,Appling GA,No,33.5588,-82.3183,9/1/2018,"{jpg} Observed object hovering for approximately 5 minutes, slowly moved southwest. Look like a solid silver object but showed as three distinct orbs connected by a spire",,
California,CA,Aptos CA,Yes,36.9912,-121.8928,6/20/2018,"{td} Very shiny cylinder/rectangle, 1/2 size of jet, clear cloudless sky, heading west. Lasted a couple of minutes then disappeared. A few more minutes, it reappeared, heading west for a few short seconds then disappeared with a burst of light in front.",,
