,Date Submitted,Date of Sighting,City,ST,Short Description
180,1/17/2018,1/17/2018,WEEHAWKIN, NJ,{rjl} Reddish orange orb stationary to drastic change in speed and direction
181,1/18/2018,1/17/2018,Las Vegas, NV,{rjl} Giant Triangle And Orb
182,1/18/2018,1/17/2018,Cincinnati, OH,{rjl} Saw a greenish blue light fall from the sky out of nowhere.
183,1/18/2018,1/18/2018,Hillsborough , FL,{rjl} It acts like its a star but it isn't. Try video taping stars with your phone you can't. This star like object I have seen moving around.
184,1/19/2018,1/18/2018,Warner robins , GA,{rjl} Saw several small lights and one bright light and what seemed to be a triangle shape craft
185,1/18/2018,1/18/2018,Chicago, IL,{rjl} Found image on Google earthmap located in Chaves County N.M.
186,2/3/2018,1/18/2018,Mercerville, NJ,{dr}Flying object bird like that moved like a reptile through the air with primary and secondary wings.
187,1/22/2018,1/18/2018,Toledo, OH,{jpg} Video of UFO up from Lake Michigan
188,1/19/2018,1/18/2018,Knoxville, TN,{rjl} Bright non flashing light hovering in sky for a few minutes we passed a house that blocked view then it had disappeared
189,2/14/2018,1/18/2018,Brownsville, TX,"{cak} stepped out my trailer and observed glowing orb it flashed like lightning behind the orb. flew., stopped backed up then flew away slowly"
190,1/18/2018,1/18/2018,Appleton, WI,{rjl} a single bright point of light against a clear sky background
191,1/20/2018,1/19/2018,Sedona, AZ,Bright lights close to the horizon. Moving in sine wave motion back and forth. Split into multiple lights and then back to one.
192,1/19/2018,1/19/2018,Mammoth Lakes, CA,"{rjl} Two bright lights materialized, then disappeared one after the other"
193,1/22/2018,1/19/2018,West Hollywood, CA,{jpg} Was abducted in a dream and couldn't remember what was said to me and then the next day I was using Siri to text someone and said talk. Then my iPhone responded with what I believe to be Latin and  untranslated phrase.
194,2/27/2018,1/19/2018,Walsenburg, CO,{td}UFO observed on film after shooting a 12 minute time-lapse of a sunrise.
195,1/19/2018,1/19/2018,Naugatuck, CT,{rjl} round and had a smaller circle at the top
196,1/22/2018,1/19/2018,Deltona, FL,{jpg} Uncharacteristically bright light that changed directions and then dissolved into nothing
197,1/20/2018,1/19/2018,Port Saint Lucie , FL,{rjl} Red flashing lights huge craft no sound over Port St. Lucie
198,1/31/2018,1/19/2018,Indianapolis, IN,"{td}White sphere of light fell from the sky. It seemed like a meteor except it did not shoot, it wafted down."
199,1/19/2018,1/19/2018,Alexandria, LA,{rjl} Driving north on. I-49 2 blueish greenish lights began to cut circle quickly over head. We witnessed the lights for 35 miles. We ruled out the possibility of sky lights because no beam wasn't projected. The lights were behind the clouds.
200,1/20/2018,1/19/2018,Mattawan, MI,{rjl} witnessed a red tennis ball size object flashing predominately red with silver flashes coming from the center hovering at about 4 feet off the ground. The object
201,1/19/2018,1/19/2018,St. Louis, MO,{rjl} Very flashy lights.. with very loud humming sound
202,4/17/2018,1/19/2018,cartage, NC,{cak} Two Triangle shaped Huge Ufos
203,2/22/2018,1/19/2018,Mullica Hill, nj,"{rjl} Heard whoosh. Looked up. Flew right over my head/house. No wings, no lights , no markings, I could draw it. Still in awe. Not one of ours. All white, clear night sky. I saw it!"
204,1/20/2018,1/19/2018,Stateline, NV,"{rjl} It was lightly snowing and I looked up to sky and saw a small skein of snow geese. They moved quicker and became larger- Above, they banked a right turn and disappeared into the mountains."
205,1/19/2018,1/19/2018,Portland, OR,{rjl} I was on the 6th floor of a building. It was heading north. Elevation was higher than a helicopter a bit and moved less speed than a jet.
206,1/22/2018,1/19/2018,Sharpsville, PA,{jpg} cluster of white orbs spinning amongst them selves - slow fade out.
207,1/20/2018,1/19/2018,Lancaster, SC,"{rjl} Wife and I saw 2 oval shapes, moving in different directions with very bright lights."
208,1/23/2018,1/19/2018,Cedar City, UT,"{jpg} I saw one, then 2 appear. then my camera picked up more, with a clear shot of the craft"
209,1/22/2018,1/20/2018,Wells, ME,"{jpg} Tear drop / Triangle shape. 3 solid white lights. No flashing, no sound"
210,1/20/2018,1/20/2018,St. Peters, MO,{rjl} Triangle shaped craft with under carriage lights at the apex of each corner.
